ID đơn hàng,Trạng thái đặt hàng,Checkout id,Thời Gian Đặt Hàng,Thời gian hoàn thành,Thời gian Click,Tên Shop,Shop id,Loại Shop,Item id,Tên Item,ID Model,Loại sản phẩm,Promotion id,L1 Danh mục toàn cầu,L2 Danh mục toàn cầu,L3 Danh mục toàn cầu,Giá(₫),Số lượng,Loại Hoa hồng,Đối tác chiến dịchr,Giá trị đơn hàng (₫),Số tiền hoàn trả (₫),Tỷ lệ sản phẩm hoa hồng Shope,Hoa hồng Shopee trên sản phẩm(₫),Tỷ lệ sản phẩm hoa hồng người bán,Hoa hồng Xtra trên sản phẩm(₫),Tổng hoa hồng sản phẩm(₫),Hoa hồng đơn hàng từ Shopee(₫),Hoa hồng đơn hàng từ Người bán(₫),Tổng hoa hồng đơn hàng(₫),Tên MNC đã liên kết,Mã hợp đồng MCN,Mức phí quản lý MCN,Phí quản lý MCN(₫),Mức hoa hồng tiếp thị liên kết theo thỏa thuận,Hoa hồng ròng tiếp thị liên kết(₫),Trạng thái sản phẩm liên kết,Ghi chú sản phẩm,Loại thuộc tính,Trạng thái người mua,Sub_id1,Sub_id2,Sub_id3,Sub_id4,Sub_id5,Kênh
2602218TS9RBYQ,Hoàn thành,225303645291182,2026-02-20 23:21:06,2026-02-24 21:02:32,2026-02-20 22:28:09,Merries-Moony-Goon-Supdry,47290661,C2C(Non-CB),25152335166,"Tã Bỉm Quần Dán BB Nature Hàn Quốc, Mềm Mại, Mỏng Nhẹ Đủ Size Cho Bé 6-25kg",255271281452,Normal Product,,Mẹ & Bé,Tã & bô em bé,Tã dùng một lần,182000,1,Shopee Comm,,160160,,4.50%,7207.2,0.00%,0,7207.2,7207.2,0,7207.2,,0,0.00%,0,100.00%,7207.2,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602218TJVPQQB,Hoàn thành,225303429273940,2026-02-20 23:17:09,2026-02-28 13:18:44,2026-02-19 10:41:44,MeiMei Store.,42839173,C2C(Non-CB),29081317124,[NEW - SẴN ] Đầm trễ vai 2 dây ren xô boi cúc dọc đuôi cá Rabbit Dress CÓ QUẦN BẢO HỘ,157762421079,Normal Product,,Thời Trang Nữ,Đầm,,189000,1,XTRA Comm,,162540,,10.00%,16254,2.00%,3250.8,19504.8,16254,3250.8,19504.8,,0,0.00%,0,100.00%,19504.8,Hoàn thành,,Đơn hàng từ cùng một Shop,Đã tồn tại,SHPAAR26,VayXepLiPolo0402,,,,Others
2602218TFC39NK,Hoàn thành,225303311205399,2026-02-20 23:15:12,2026-02-26 11:16:27,2026-02-17 22:26:54,Babi mama - Gấu Bông Nhập Khẩu,703325036,C2C(Non-CB),50452211120,Gấu bông IP 17PROMAX  hình 3D sắc nét độc đáo - G176 Bim Bim Snack OlSHl Mì Tôm Hao Hao,430213988048,Normal Product,,Mẹ & Bé,Đồ chơi,Búp bê & Thú nhồi bông,59000,1,Shopee Comm,,59000,,4.50%,2655,0.00%,0,2655,2655,0,2655,,0,0.00%,0,100.00%,2655,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,VayXepLiPolo0402,,,,Facebook
2602218TAMHUSY,Hoàn thành,225303153294020,2026-02-20 23:12:53,2026-02-28 12:08:03,2026-02-18 07:18:49,So coffee shop,1518577844,C2C(Non-CB),26434132914,Ấm pha cà phê kiểu pháp 350/600ml French press 304 inox lọc Bình pha cà phê Có thể pha trà,243234492181,Normal Product,,Nhà cửa & Đời sống,Dụng cụ nhà bếp,"Dụng cụ pha trà, cà phê",99000,1,Shopee Comm,,99000,,4.50%,4455,0.00%,0,4455,4455,0,4455,,0,0.00%,0,100.00%,4455,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,BBRSoSinhNous3101,,,,Facebook
2602218T9BG0R5,Đã hủy,225303109249499,2026-02-20 23:11:53,--,2026-02-19 10:20:10,BABY KIDS 💖,388101655,Preferred(Non-CB),25254221768,"42 Đồ Chơi Dụng Cụ Sửa Chữa Cho Bé Cụ Trẻ Em Kỹ Sư Cơ Khí Khoan Điện Chơi ,Đồ Chơi Trí Tuệ",251560061152,Normal Product,,Mẹ & Bé,Đồ chơi,Đồ chơi nhập vai,214988,0,Shopee Comm,,0,181339,4.50%,0,0.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng bị hủy vì giao hàng không thành công.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,VayXepLiPolo0402,,,,Facebook
2602218T01108N,Hoàn thành,225302796271417,2026-02-20 23:06:36,2026-03-02 12:26:08,2026-02-20 22:54:11,LuxryBaby,418010203,Shopee Mall(Non-CB),21034524936,Body suit dài tay Phi hành gia Luxry vải sợi tre đáng yêu cho bé từ 0 đến 18 tháng,181773914308,Normal Product,,Thời trang trẻ em & trẻ sơ sinh,Quần áo trẻ em,Bộ đồ liền thân,169000,1,XTRA Comm,,155480,,0.00%,0,7.50%,11661,11661,0,11661,11661,,0,0.00%,0,100.00%,11661,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,BBRSoSinhNous3101,,,,Facebook
2602218SWB6HM3,Hoàn thành,225302706281061,2026-02-20 23:05:07,2026-02-27 16:16:58,2026-02-20 23:02:56,Jocé by Jo,1249391690,Preferred(Non-CB),47154180073,Giày búp bê da lì quai mảnh tag miếng kim loại Jocé giày nữ mềm mũi tròn hạt đậu thanh lịch cho nữ,297311690902,Normal Product,,Giày Dép Nữ,Giày đế bằng,Giày sục & Giày búp bê,196000,1,XTRA Comm,,156800,,4.50%,7056,1.00%,1568,8624,7056,1568,8624,,0,0.00%,0,100.00%,8624,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAP0725,BBRSoSinhNous3101,,,,Facebook
2602218SRBUV3P,Hoàn thành,225302539208352,2026-02-20 23:02:20,2026-02-26 12:52:47,2026-02-20 17:10:48,GIA DỤNG 4.0 NGÂN HÀ,423621602,Preferred(Non-CB),23979891744,"Combo 2kg khăn khô đa năng, khăn vải khô đa năng [Link dự phòng]",177881202165,Normal Product,,Mẹ & Bé,Đồ dùng phòng tắm & Chăm sóc cơ thể bé,Khăn lau,120000,1,Shopee Comm,,108000,,4.50%,4860,0.00%,0,4860,4860,0,4860,,0,0.00%,0,100.00%,4860,Hoàn thành,,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetcaMap0502,,,,Facebook
2602218SMKRQX8,Đã hủy,225302413277593,2026-02-20 23:00:13,--,2026-02-18 13:36:42,DEW96,779826787,Preferred(Non-CB),43466468556,"Quần baggy nữ chất vải nỉ 2 da mềm mại, lưng cao cạp chun dây rút có túi trước",286357278006,Normal Product,,Thời Trang Nữ,Quần,Quần dài,139000,0,XTRA Comm,,0,107525,4.50%,0,5.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetCongTu0502,,,,Facebook
2602218SMKRQX8,Đã hủy,225302413277593,2026-02-20 23:00:13,--,2026-02-18 13:36:42,DEW96,779826787,Preferred(Non-CB),43466468556,"Quần baggy nữ chất vải nỉ 2 da mềm mại, lưng cao cạp chun dây rút có túi trước",286357278014,Normal Product,,Thời Trang Nữ,Quần,Quần dài,139000,0,XTRA Comm,,0,107525,4.50%,0,5.00%,0,0,0,0,0,,0,0.00%,0,100.00%,0,Đã hủy,Đơn hàng không hợp lệ.,Đơn hàng từ các Shop khác nhau,Đã tồn tại,SHPAAR26,SetCongTu0502,,,,Facebook
